date,value
1981-09-01,0.8265975197685416
1981-10-01,0.8685050329980006
1981-11-01,0.869686735681509
1981-12-01,0.8707531823913117
1982-01-01,0.8789069186228776
1982-02-01,0.8162088890084462
1982-03-01,0.8634197421679257
1982-04-01,0.932474108178035
1982-05-01,0.944568986600353
1982-06-01,0.9148061500081291
1982-07-01,0.8962769929969995
1982-08-01,0.8900597437085525
1982-09-01,0.9141965637199687
1982-10-01,0.941135489506008
1982-11-01,0.9263841298258859
1982-12-01,0.9298278239827034
1983-01-01,0.9331593852087002
1983-02-01,0.9179200689648149
1983-03-01,0.9459482315187195
1983-04-01,1.007063027479094
1983-05-01,0.9950573375198597
1983-06-01,0.9692626048037339
1983-07-01,0.9687623718139571
1983-08-01,0.9873784765059475
1983-09-01,1.0013979865300269
1983-10-01,1.0130865208735866
1983-11-01,0.9827093600323403
1983-12-01,0.9890662951776599
1984-01-01,0.988232433461548
1984-02-01,1.0202317226593207
1984-03-01,0.9866361910215411
1984-04-01,1.070855531641589
1984-05-01,1.1322366303511289
1984-06-01,1.096796785515418
1984-07-01,1.0434896770966244
1984-08-01,0.9862468793816164
1984-09-01,1.0283562415124583
1984-10-01,1.0849228527106858
1984-11-01,1.1023214122376326
1984-12-01,1.1015438473488612
1985-01-01,1.1151856281741859
1985-02-01,1.004859597355968
1985-03-01,1.070126842677982
1985-04-01,1.1468895404707724
1985-05-01,1.1834581308769199
1985-06-01,1.1504796172717722
1985-07-01,1.1143375291208424
1985-08-01,1.0828228075058517
1985-09-01,1.116324915705651
1985-10-01,1.1582321783362306
1985-11-01,1.1594136220676008
1985-12-01,1.1604798181786111
1986-01-01,1.1686332954579655
1986-02-01,1.1059350068914398
1986-03-01,1.1531456261586444
1986-04-01,1.222199733216637
1986-05-01,1.2342943610400672
1986-06-01,1.2045312654957656
1986-07-01,1.186001857885765
1986-08-01,1.179784349645136
1986-09-01,1.2039209107044382
1986-10-01,1.230859585891658
1986-11-01,1.2161079672594544
1986-12-01,1.2195514108173144
1987-01-01,1.2228827130912554
1987-02-01,1.2076431378952397
1987-03-01,1.2356710665569037
1987-04-01,1.2967856037119736
1987-05-01,1.284779663296022
1987-06-01,1.2589846717745938
1987-07-01,1.2584841883281148
1987-08-01,1.2771000342148773
1987-09-01,1.2911192854336466
1987-10-01,1.3028075693205017
1987-11-01,1.2724301496739336
1987-12-01,1.2784394051303432
1988-01-01,1.2772462744023039
1988-02-01,1.3088862945880906
1988-03-01,1.2749546725844043
1988-04-01,1.3588147441924234
1988-05-01,1.4198481632128988
1988-06-01,1.384049049365423
1988-07-01,1.3303942612575885
1988-08-01,1.2727921945306173
1988-09-01,1.3145422876495005
1988-10-01,1.370761219158782
1988-11-01,1.3878005096738115
1988-12-01,1.386675265096123
1989-01-01,1.3999577769094504
1989-02-01,1.289272477079392
1989-03-01,1.3542152213582423
1989-04-01,1.430618650139098
1989-05-01,1.4668395608563471
1989-06-01,1.43350177823908
1989-07-01,1.3970120103992776
1989-08-01,1.3651382785777524
1989-09-01,1.3982813765707829
1989-10-01,1.4398412099690805
1989-11-01,1.4406636434937783
1989-12-01,1.4413824103724122
1990-01-01,1.4491768774452198
1990-02-01,1.3861195786720264
1990-03-01,1.4322348076958813
1990-04-01,1.5000761612701057
1990-05-01,1.5109971566899778
1990-06-01,1.4800213076619455
1990-07-01,1.4603182676483197
1990-08-01,1.4528880059239637
1990-09-01,1.4758118134996199
1990-10-01,1.5015768562831706
1990-11-01,1.485612484167083
1990-12-01,1.4878822953214783
1991-01-01,1.4900008441116488
1991-02-01,1.4735485154318906
1991-03-01,1.5004810538502058
1991-04-01,1.5603828375215887
1991-05-01,1.547203264702006
1991-06-01,1.5201955196969048
1991-07-01,1.518521403846789
1991-08-01,1.5359244962498404
1991-09-01,1.5487309939848555
1991-10-01,1.559245645468123
1991-11-01,1.5276554723378533
1991-12-01,1.5328385246229477
1992-01-01,1.5307916506178172
1992-02-01,1.561577927526693
1992-03-01,1.5268476424571888
1992-04-01,1.609853970788192
1992-05-01,1.6700611866373487
1992-06-01,1.6334083295126876
1992-07-01,1.5760858143914884
1992-08-01,1.5146937630839028
1992-09-01,1.552653871622232
1992-10-01,1.6052050761180574
1992-11-01,1.6184543820525503
1992-12-01,1.6136614104613751
1993-01-01,1.6231539376940998
1993-02-01,1.508678653283507
1993-03-01,1.570198185683129
1993-04-01,1.6428116298833944
1993-05-01,1.6753648135871713
1993-06-01,1.6382370463893392
1993-07-01,1.598079551536065
1993-08-01,1.5624158351339301
1993-09-01,1.5917689485464062
1993-10-01,1.629661054931265
1993-11-01,1.626693503875376
1993-12-01,1.6237445437405593
1994-01-01,1.6277490262328023
1994-02-01,1.5609017428790282
1994-03-01,1.6043648829836223
1994-04-01,1.6692699952542696
1994-05-01,1.677349466832042
1994-06-01,1.6434373765004722
1994-07-01,1.620892812644696
1994-08-01,1.6105263096167826
1994-09-01,1.6305138758890303
1994-10-01,1.6534373948303867
1994-11-01,1.633995730329055
1994-12-01,1.6329004198201273
1995-01-01,1.631541676224925
1995-02-01,1.6116120551599122
1995-03-01,1.635403813359157
1995-04-01,1.69182830464513
1995-05-01,1.6752836101623771
1995-06-01,1.6447985727718746
1995-07-01,1.6397593352585458
1995-08-01,1.6536851352761686
1995-09-01,1.6630143406259865
1995-10-01,1.6701638704458899
1995-11-01,1.635096404930364
1995-12-01,1.6369143355520195
1996-01-01,1.6313901691616195
1996-02-01,1.6586991536851172
1996-03-01,1.620715917674529
1996-04-01,1.7002449536201842
1996-05-01,1.7570870478061096
