ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
1991-06-01,505.34532086144986,333.87648625533365,653.8977866516071,505.34532086144986,505.34532086144986,-17.26489572061459,-17.26489572061459,-17.26489572061459,-17.26489572061459,-17.26489572061459,-17.26489572061459,0.0,0.0,0.0,488.08042514083525
1991-07-01,510.84813176733996,380.8256261479381,688.6862342704948,510.84813176733996,510.84813176733996,20.774176249067754,20.774176249067754,20.774176249067754,20.774176249067754,20.774176249067754,20.774176249067754,0.0,0.0,0.0,531.6223080164077
1991-08-01,516.5343697034264,384.8705829901877,684.4580573815937,516.5343697034264,516.5343697034264,19.652520462054845,19.652520462054845,19.652520462054845,19.652520462054845,19.652520462054845,19.652520462054845,0.0,0.0,0.0,536.1868901654813
1991-09-01,523.3081909502164,359.6665831470594,664.7809491950984,523.3081909502164,523.3081909502164,-12.67357814349235,-12.67357814349235,-12.67357814349235,-12.67357814349235,-12.67357814349235,-12.67357814349235,0.0,0.0,0.0,510.634612806724
1991-10-01,529.8635018342069,348.9880696636348,653.5786637688892,529.8635018342069,529.8635018342069,-40.47445026694653,-40.47445026694653,-40.47445026694653,-40.47445026694653,-40.47445026694653,-40.47445026694653,0.0,0.0,0.0,489.38905156726037
1991-11-01,536.637323080997,364.36640662266046,672.3932683144712,536.637323080997,536.637323080997,-20.644453266282937,-20.644453266282937,-20.644453266282937,-20.644453266282937,-20.644453266282937,-20.644453266282937,0.0,0.0,0.0,515.9928698147141
1991-12-01,543.1926339649874,418.5927746967204,730.080728862183,543.1926339649874,543.1926339649874,33.853182965206265,33.853182965206265,33.853182965206265,33.853182965206265,33.853182965206265,33.853182965206265,0.0,0.0,0.0,577.0458169301937
1992-01-01,549.9664552117775,431.08423774663066,743.6141769932781,549.9664552117775,549.9664552117775,31.720717935883012,31.720717935883012,31.720717935883012,31.720717935883012,31.720717935883012,31.720717935883012,0.0,0.0,0.0,581.6871731476606
1992-02-01,556.7402764585677,384.73641053301486,700.5690184259325,556.7402764585677,556.7402764585677,-16.338842695137693,-16.338842695137693,-16.338842695137693,-16.338842695137693,-16.338842695137693,-16.338842695137693,0.0,0.0,0.0,540.40143376343
1992-03-01,563.0770769797584,415.73295632134796,719.2485347886736,563.0770769797584,563.0770769797584,6.141190572383084,6.141190572383084,6.141190572383084,6.141190572383084,6.141190572383084,6.141190572383084,0.0,0.0,0.0,569.2182675521415
1992-04-01,569.8722677250869,414.1054356263004,718.3740289016094,569.8722677250869,569.8722677250869,-5.375167463151916,-5.375167463151916,-5.375167463151916,-5.375167463151916,-5.375167463151916,-5.375167463151916,0.0,0.0,0.0,564.497100261935
1992-05-01,576.4482587689532,417.8150972275633,732.203544972848,576.4482587689532,576.4482587689532,-1.920079864968862,-1.920079864968862,-1.920079864968862,-1.920079864968862,-1.920079864968862,-1.920079864968862,0.0,0.0,0.0,574.5281789039843
1992-06-01,583.2434495142819,407.6663223320031,729.4188899269426,583.2434495142819,583.2434495142819,-7.778348437637007,-7.778348437637007,-7.778348437637007,-7.778348437637007,-7.778348437637007,-7.778348437637007,0.0,0.0,0.0,575.4651010766449
1992-07-01,589.819440558148,445.05479127860826,749.0524907239944,589.819440558148,589.819440558148,1.787489822903647,1.787489822903647,1.787489822903647,1.787489822903647,1.787489822903647,1.787489822903647,0.0,0.0,0.0,591.6069303810517
1992-08-01,596.6146313034767,445.4657055031152,745.6849949264483,596.6146313034767,596.6146313034767,-5.445286138530859,-5.445286138530859,-5.445286138530859,-5.445286138530859,-5.445286138530859,-5.445286138530859,0.0,0.0,0.0,591.1693451649459
1992-09-01,603.4098220488052,432.6353837422717,749.3454651697037,603.4098220488052,603.4098220488052,-10.694363064452054,-10.694363064452054,-10.694363064452054,-10.694363064452054,-10.694363064452054,-10.694363064452054,0.0,0.0,0.0,592.7154589843531
1992-10-01,609.9858130926715,470.49881901423646,774.7064282367224,609.9858130926715,609.9858130926715,16.702196907837124,16.702196907837124,16.702196907837124,16.702196907837124,16.702196907837124,16.702196907837124,0.0,0.0,0.0,626.6880100005086
1992-11-01,616.7815463533824,463.2440665640971,772.4795330506246,616.7815463533824,616.7815463533824,2.0458865158476707,2.0458865158476707,2.0458865158476707,2.0458865158476707,2.0458865158476707,2.0458865158476707,0.0,0.0,0.0,618.82743286923
1992-12-01,623.3580624121349,461.0153576505757,770.5933074921874,623.3580624121349,623.3580624121349,-8.842303757685851,-8.842303757685851,-8.842303757685851,-8.842303757685851,-8.842303757685851,-8.842303757685851,0.0,0.0,0.0,614.5157586544491
1993-01-01,630.1537956728457,446.8074901071383,753.7214286327505,630.1537956728457,630.1537956728457,-32.07664370739573,-32.07664370739573,-32.07664370739573,-32.07664370739573,-32.07664370739573,-32.07664370739573,0.0,0.0,0.0,598.07715196545
1993-02-01,636.9495289335567,491.586227218341,800.0630032665667,636.9495289335567,636.9495289335567,4.41779515514318,4.41779515514318,4.41779515514318,4.41779515514318,4.41779515514318,4.41779515514318,0.0,0.0,0.0,641.3673240886999
1993-03-01,643.0876105883924,472.7973879360305,793.3550277427307,643.0876105883924,643.0876105883924,-12.148835586820539,-12.148835586820539,-12.148835586820539,-12.148835586820539,-12.148835586820539,-12.148835586820539,0.0,0.0,0.0,630.9387750015719
1993-04-01,649.8833438491032,498.5064002107328,809.3201996130773,649.8833438491032,649.8833438491032,-0.024662612754284396,-0.024662612754284396,-0.024662612754284396,-0.024662612754284396,-0.024662612754284396,-0.024662612754284396,0.0,0.0,0.0,649.858681236349
1993-05-01,656.4598599078557,503.89495759331237,809.7318783567171,656.4598599078557,656.4598599078557,2.186882955842856,2.186882955842856,2.186882955842856,2.186882955842856,2.186882955842856,2.186882955842856,0.0,0.0,0.0,658.6467428636986
1993-06-01,663.2556309057226,499.0676190851353,804.8149947818906,663.2556309057226,663.2556309057226,-11.020835384755015,-11.020835384755015,-11.020835384755015,-11.020835384755015,-11.020835384755015,-11.020835384755015,0.0,0.0,0.0,652.2347955209675
1993-07-01,669.8321834843036,523.6195773552992,827.3703717503951,669.8321834843036,669.8321834843036,8.038885151537649,8.038885151537649,8.038885151537649,8.038885151537649,8.038885151537649,8.038885151537649,0.0,0.0,0.0,677.8710686358413
1993-08-01,676.6279544821705,536.8036741898458,833.1010976408397,676.6279544821705,676.6279544821705,3.1438984726052253,3.1438984726052253,3.1438984726052253,3.1438984726052253,3.1438984726052253,3.1438984726052253,0.0,0.0,0.0,679.7718529547757
1993-09-01,683.4237254800372,496.46033777851494,827.7765143726688,683.4237254800372,683.4237254800372,-10.91383873523249,-10.91383873523249,-10.91383873523249,-10.91383873523249,-10.91383873523249,-10.91383873523249,0.0,0.0,0.0,672.5098867448047
1993-10-01,690.0002780586183,544.0200045798861,849.0212723418798,690.0002780586183,690.0002780586183,-2.338630217213779,-2.338630217213779,-2.338630217213779,-2.338630217213779,-2.338630217213779,-2.338630217213779,0.0,0.0,0.0,687.6616478414045
1993-11-01,696.7960490564849,549.255882891475,844.5214128001714,696.7960490564849,696.7960490564849,-6.076360635183746,-6.076360635183746,-6.076360635183746,-6.076360635183746,-6.076360635183746,-6.076360635183746,0.0,0.0,0.0,690.7196884213012
1993-12-01,703.3726016350661,554.7147093336952,871.1699502781628,703.3726016350661,703.3726016350661,4.970946134869669,4.970946134869669,4.970946134869669,4.970946134869669,4.970946134869669,4.970946134869669,0.0,0.0,0.0,708.3435477699358
1994-01-01,710.1683740822496,551.1533908486418,867.6817822375755,710.1683740822496,710.1683740822496,-10.481685233984328,-10.481685233984328,-10.481685233984328,-10.481685233984328,-10.481685233984328,-10.481685233984328,0.0,0.0,0.0,699.6866888482652
1994-02-01,716.964146529433,546.1330838690207,867.3864551848641,716.964146529433,716.964146529433,-1.8931219700539426,-1.8931219700539426,-1.8931219700539426,-1.8931219700539426,-1.8931219700539426,-1.8931219700539426,0.0,0.0,0.0,715.0710245593791
1994-03-01,723.1022635785021,540.2652958699572,852.5659979255223,723.1022635785021,723.1022635785021,-30.282544782261432,-30.282544782261432,-30.282544782261432,-30.282544782261432,-30.282544782261432,-30.282544782261432,0.0,0.0,0.0,692.8197187962406
1994-04-01,729.8980360256855,576.6623249953396,903.7535226818762,729.8980360256855,729.8980360256855,5.673651335038537,5.673651335038537,5.673651335038537,5.673651335038537,5.673651335038537,5.673651335038537,0.0,0.0,0.0,735.5716873607241
1994-05-01,736.4745900068309,587.9440448531743,900.5064562810371,736.4745900068309,736.4745900068309,6.317570673853665,6.317570673853665,6.317570673853665,6.317570673853665,6.317570673853665,6.317570673853665,0.0,0.0,0.0,742.7921606806846
1994-06-01,743.2703624540146,586.6703314880584,887.2893453738455,743.2703624540146,743.2703624540146,-14.182958034997089,-14.182958034997089,-14.182958034997089,-14.182958034997089,-14.182958034997089,-14.182958034997089,0.0,0.0,0.0,729.0874044190175
1994-07-01,749.84691643516,607.583152247135,915.3496417515847,749.84691643516,749.84691643516,14.371112804034142,14.371112804034142,14.371112804034142,14.371112804034142,14.371112804034142,14.371112804034142,0.0,0.0,0.0,764.2180292391942
1994-08-01,756.6427085931531,604.8640413852003,931.3401532848177,756.6427085931531,756.6427085931531,11.513475575161953,11.513475575161953,11.513475575161953,11.513475575161953,11.513475575161953,11.513475575161953,0.0,0.0,0.0,768.156184168315
1994-09-01,763.438500751146,609.0353945370614,901.7846121146347,763.438500751146,763.438500751146,-11.574967960786184,-11.574967960786184,-11.574967960786184,-11.574967960786184,-11.574967960786184,-11.574967960786184,0.0,0.0,0.0,751.8635327903597
1994-10-01,770.0150738072682,597.7313201856786,899.0040848579858,770.0150738072682,770.0150738072682,-21.40603900540851,-21.40603900540851,-21.40603900540851,-21.40603900540851,-21.40603900540851,-21.40603900540851,0.0,0.0,0.0,748.6090348018597
1994-11-01,776.8108659652613,612.1457071560575,922.4555162127365,776.8108659652613,776.8108659652613,-13.643375863335125,-13.643375863335125,-13.643375863335125,-13.643375863335125,-13.643375863335125,-13.643375863335125,0.0,0.0,0.0,763.1674901019262
1994-12-01,783.3874390213834,651.1284162802576,950.2882346750687,783.3874390213834,783.3874390213834,19.210013867898084,19.210013867898084,19.210013867898084,19.210013867898084,19.210013867898084,19.210013867898084,0.0,0.0,0.0,802.5974528892815
1995-01-01,790.1832311793765,650.598146992395,952.0795197389785,790.1832311793765,790.1832311793765,10.793212963139236,10.793212963139236,10.793212963139236,10.793212963139236,10.793212963139236,10.793212963139236,0.0,0.0,0.0,800.9764441425158
1995-02-01,796.9790233373695,632.5267487654818,918.6180383684798,796.9790233373695,796.9790233373695,-8.813871873182263,-8.813871873182263,-8.813871873182263,-8.813871873182263,-8.813871873182263,-8.813871873182263,0.0,0.0,0.0,788.1651514641873
1995-03-01,807.6521293956943,596.2551616936265,920.579499779196,807.6521293956943,807.6521293956943,-48.236856988030794,-48.236856988030794,-48.236856988030794,-48.236856988030794,-48.236856988030794,-48.236856988030794,0.0,0.0,0.0,759.4152724076635
1995-04-01,819.4687825316961,685.3757070251468,996.7394155852687,819.4687825316961,819.4687825316961,11.718210363618173,11.718210363618173,11.718210363618173,11.718210363618173,11.718210363618173,11.718210363618173,0.0,0.0,0.0,831.1869928953142
1995-05-01,830.904253308473,675.0913374122098,1004.9363565471734,830.904253308473,830.904253308473,10.46641746588899,10.46641746588899,10.46641746588899,10.46641746588899,10.46641746588899,10.46641746588899,0.0,0.0,0.0,841.370670774362
1995-06-01,842.7209064444752,662.7689609925752,973.2278701878861,842.7209064444752,842.7209064444752,-17.264895720589678,-17.264895720589678,-17.264895720589678,-17.264895720589678,-17.264895720589678,-17.264895720589678,0.0,0.0,0.0,825.4560107238855
1995-07-01,854.1563772212513,715.7048373625886,1021.8394775603714,854.1563772212513,854.1563772212513,20.77417624909704,20.77417624909704,20.77417624909704,20.77417624909704,20.77417624909704,20.77417624909704,0.0,0.0,0.0,874.9305534703484
1995-08-01,865.9730303572538,727.1985389586773,1042.3413540925903,865.9730303572538,865.9730303572538,19.6525204620216,19.6525204620216,19.6525204620216,19.6525204620216,19.6525204620216,19.6525204620216,0.0,0.0,0.0,885.6255508192754
1995-09-01,877.7896834932565,698.5307889125934,1020.8646527976872,877.7896834932565,877.7896834932565,-12.67357814355251,-12.67357814355251,-12.67357814355251,-12.67357814355251,-12.67357814355251,-12.67357814355251,0.0,0.0,0.0,865.116105349704
1995-10-01,898.4352202552025,697.0271790478535,1011.788937390279,898.4352202552025,898.4352202552025,-40.474450266943485,-40.474450266943485,-40.474450266943485,-40.474450266943485,-40.474450266943485,-40.474450266943485,0.0,0.0,0.0,857.960769988259
1995-11-01,919.7689415758806,741.8909998179627,1060.2372616154285,919.7689415758806,919.7689415758806,-20.64445326630138,-20.64445326630138,-20.64445326630138,-20.64445326630138,-20.64445326630138,-20.64445326630138,0.0,0.0,0.0,899.1244883095792
1995-12-01,940.4144783378273,819.538632132486,1132.0407576322539,940.4144783378273,940.4144783378273,33.853182965198236,33.853182965198236,33.853182965198236,33.853182965198236,33.853182965198236,33.853182965198236,0.0,0.0,0.0,974.2676613030255
1996-01-01,961.7481996585054,840.3789852039006,1148.856476012876,961.7481996585054,961.7481996585054,31.720717935894086,31.720717935894086,31.720717935894086,31.720717935894086,31.720717935894086,31.720717935894086,0.0,0.0,0.0,993.4689175943995
1996-02-01,983.0819209791836,813.2301926358286,1117.2727863925095,983.0819209791836,983.0819209791836,-16.33884269509522,-16.33884269509522,-16.33884269509522,-16.33884269509522,-16.33884269509522,-16.33884269509522,0.0,0.0,0.0,966.7430782840884
1996-03-01,1003.039273182399,854.0072257736169,1166.0335981656294,1003.039273182399,1003.039273182399,6.141190572417037,6.141190572417037,6.141190572417037,6.141190572417037,6.141190572417037,6.141190572417037,0.0,0.0,0.0,1009.1804637548161
1996-04-01,1024.3729945030775,862.4261775621724,1182.3813882240927,1024.3729945030775,1024.3729945030775,-5.375167463161018,-5.375167463161018,-5.375167463161018,-5.375167463161018,-5.375167463161018,-5.375167463161018,0.0,0.0,0.0,1018.9978270399165
1996-05-01,1060.2338868084832,907.4821987613313,1205.066570590607,1060.2338868084832,1060.2338868084832,-1.9200798649568076,-1.9200798649568076,-1.9200798649568076,-1.9200798649568076,-1.9200798649568076,-1.9200798649568076,0.0,0.0,0.0,1058.3138069435265
1996-06-01,1097.2901421907354,941.5937370579909,1242.33372583744,1097.2901421907354,1097.2901421907354,-7.778348437663222,-7.778348437663222,-7.778348437663222,-7.778348437663222,-7.778348437663222,-7.778348437663222,0.0,0.0,0.0,1089.5117937530722
1996-07-01,1133.1510344961405,987.2537200790036,1283.3068166318667,1133.1510344961405,1133.1510344961405,1.7874898228826277,1.7874898228826277,1.7874898228826277,1.7874898228826277,1.7874898228826277,1.7874898228826277,0.0,0.0,0.0,1134.9385243190231
1996-08-01,1170.2072898783936,1015.5574254519457,1319.1129276556449,1170.2072898783936,1170.2072898783936,-5.445286138517548,-5.445286138517548,-5.445286138517548,-5.445286138517548,-5.445286138517548,-5.445286138517548,0.0,0.0,0.0,1164.762003739876
1996-09-01,1207.2635452606457,1039.0846778515968,1342.5213407153599,1207.2635452606457,1207.2635452606457,-10.69436306447255,-10.69436306447255,-10.69436306447255,-10.69436306447255,-10.69436306447255,-10.69436306447255,0.0,0.0,0.0,1196.5691821961732
1996-10-01,1243.1244375660508,1105.5470520312053,1416.6827885697637,1243.1244375660508,1243.1244375660508,16.702196907778255,16.702196907778255,16.702196907778255,16.702196907778255,16.702196907778255,16.702196907778255,0.0,0.0,0.0,1259.826634473829
1996-11-01,1280.1806929483032,1123.2594100056847,1435.6233869023802,1280.1806929483032,1280.1806929483032,2.04588651582202,2.04588651582202,2.04588651582202,2.04588651582202,2.04588651582202,2.04588651582202,0.0,0.0,0.0,1282.2265794641253
1996-12-01,1316.041585253708,1143.1304635333183,1464.2594537719754,1316.041585253708,1316.041585253708,-8.842303757714193,-8.842303757714193,-8.842303757714193,-8.842303757714193,-8.842303757714193,-8.842303757714193,0.0,0.0,0.0,1307.1992814959938
1997-01-01,1353.0978406359604,1151.5797007900405,1468.7641245575428,1353.0978406359604,1353.0978406359604,-32.07664370732742,-32.07664370732742,-32.07664370732742,-32.07664370732742,-32.07664370732742,-32.07664370732742,0.0,0.0,0.0,1321.0211969286331
1997-02-01,1390.1540960182126,1246.1967653331064,1543.722841040993,1390.1540960182126,1390.1540960182126,4.41779515515369,4.41779515515369,4.41779515515369,4.41779515515369,4.41779515515369,4.41779515515369,0.0,0.0,0.0,1394.5718911733663
1997-03-01,1423.6242621699248,1255.798461654811,1575.8179078656644,1423.6242621699248,1423.6242621699248,-12.148835586811115,-12.148835586811115,-12.148835586811115,-12.148835586811115,-12.148835586811115,-12.148835586811115,0.0,0.0,0.0,1411.4754265831136
1997-04-01,1460.6805175521763,1311.4962726575804,1613.7271428952772,1460.6805175521763,1460.6805175521763,-0.024662612688343,-0.024662612688343,-0.024662612688343,-0.024662612688343,-0.024662612688343,-0.024662612688343,0.0,0.0,0.0,1460.6558549394879
1997-05-01,1496.5414098575827,1357.7400516583002,1654.3093737544625,1496.5414098575827,1496.5414098575827,2.186882955844229,2.186882955844229,2.186882955844229,2.186882955844229,2.186882955844229,2.186882955844229,0.0,0.0,0.0,1498.728292813427
1997-06-01,1533.5976652398342,1367.4488788817832,1676.4397952673473,1533.5976652398342,1533.5976652398342,-11.020835384746203,-11.020835384746203,-11.020835384746203,-11.020835384746203,-11.020835384746203,-11.020835384746203,0.0,0.0,0.0,1522.576829855088
1997-07-01,1569.4585575452409,1425.1105146606785,1739.6458010411793,1569.4585575452409,1569.4585575452409,8.038885151566326,8.038885151566326,8.038885151566326,8.038885151566326,8.038885151566326,8.038885151566326,0.0,0.0,0.0,1577.4974426968072
1997-08-01,1606.5148129274924,1450.6781817467695,1760.3079144757614,1606.5148129274924,1606.5148129274924,3.143898472631053,3.143898472631053,3.143898472631053,3.143898472631053,3.143898472631053,3.143898472631053,0.0,0.0,0.0,1609.6587114001234
