ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
1981-09-01,192.60562557600002,-414.41607300562055,709.7143558077629,192.60562557600002,192.60562557600002,-36.208409106286105,-36.208409106286105,-36.208409106286105,-36.208409106286105,-36.208409106286105,-36.208409106286105,0.0,0.0,0.0,156.39721646971392
1981-10-01,195.81315498042554,-403.51326483539,745.2810460763108,195.81315498042554,195.81315498042554,-40.958798251306156,-40.958798251306156,-40.958798251306156,-40.958798251306156,-40.958798251306156,-40.958798251306156,0.0,0.0,0.0,154.8543567291194
1981-11-01,199.12760203166528,-389.57062083619235,697.5282026515808,199.12760203166528,199.12760203166528,-59.03499008814786,-59.03499008814786,-59.03499008814786,-59.03499008814786,-59.03499008814786,-59.03499008814786,0.0,0.0,0.0,140.09261194351743
1981-12-01,202.33513143609082,-449.20584621293267,679.0560082465585,202.33513143609082,202.33513143609082,-100.11980081295083,-100.11980081295083,-100.11980081295083,-100.11980081295083,-100.11980081295083,-100.11980081295083,0.0,0.0,0.0,102.21533062313999
1982-01-01,205.64957848733056,-457.76084627459636,651.4706387346317,205.64957848733056,205.64957848733056,-110.22434206561175,-110.22434206561175,-110.22434206561175,-110.22434206561175,-110.22434206561175,-110.22434206561175,0.0,0.0,0.0,95.42523642171881
1982-02-01,208.9640255385703,-421.8667642367125,657.569877392422,208.9640255385703,208.9640255385703,-94.27832417231573,-94.27832417231573,-94.27832417231573,-94.27832417231573,-94.27832417231573,-94.27832417231573,0.0,0.0,0.0,114.68570136625456
1982-03-01,211.95771964936748,-419.7572344018461,663.8401589071789,211.95771964936748,211.95771964936748,-114.61423785710879,-114.61423785710879,-114.61423785710879,-114.61423785710879,-114.61423785710879,-114.61423785710879,0.0,0.0,0.0,97.34348179225869
1982-04-01,215.27216670060722,-407.3200333820917,695.143874915304,215.27216670060722,215.27216670060722,-64.09493351144988,-64.09493351144988,-64.09493351144988,-64.09493351144988,-64.09493351144988,-64.09493351144988,0.0,0.0,0.0,151.17723318915733
1982-05-01,218.47969610503276,-362.80654566116914,728.0365502357838,218.47969610503276,218.47969610503276,-43.98511917419345,-43.98511917419345,-43.98511917419345,-43.98511917419345,-43.98511917419345,-43.98511917419345,0.0,0.0,0.0,174.49457693083932
1982-06-01,221.7941431562725,-378.7591937031679,797.8589831836849,221.7941431562725,221.7941431562725,-49.802164356357785,-49.802164356357785,-49.802164356357785,-49.802164356357785,-49.802164356357785,-49.802164356357785,0.0,0.0,0.0,171.9919787999147
