cutoff,mae,rmse,model
2000-01-01,3478.4015275488937,3799.838590428547,with_regressors
2000-01-01,3552.4443235822764,3886.189104478099,baseline
2010-01-01,4898.8825805311435,6589.894932231829,with_regressors
2010-01-01,5764.121096484157,7526.240806749916,baseline
2020-01-01,3015.954835961912,3613.789193592589,with_regressors
2020-01-01,3803.1147258121555,4364.54062095567,baseline
