ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
1982-07-01,191.691624942423,-400.4599644215757,733.946905127418,191.691624942423,191.691624942423,-27.774605265544302,-27.774605265544302,-27.774605265544302,-27.774605265544302,-27.774605265544302,-27.774605265544302,0.0,0.0,0.0,163.9170196768787
1982-08-01,195.54164625948943,-407.8692701739642,695.3973854634223,195.54164625948943,195.54164625948943,-57.16475662226689,-57.16475662226689,-57.16475662226689,-57.16475662226689,-57.16475662226689,-57.16475662226689,0.0,0.0,0.0,138.37688963722252
1982-09-01,199.39166774101133,-390.87485966667106,681.9379208886836,199.39166774101133,199.39166774101133,-66.0185670914055,-66.0185670914055,-66.0185670914055,-66.0185670914055,-66.0185670914055,-66.0185670914055,0.0,0.0,0.0,133.37310064960582
1982-10-01,203.11749498119383,-482.1231360091972,640.9711562302253,203.11749498119383,203.11749498119383,-93.67192019254013,-93.67192019254013,-93.67192019254013,-93.67192019254013,-93.67192019254013,-93.67192019254013,0.0,0.0,0.0,109.4455747886537
1982-11-01,206.96751646271574,-418.5803190351859,687.0234632282027,206.96751646271574,206.96751646271574,-87.55539354770747,-87.55539354770747,-87.55539354770747,-87.55539354770747,-87.55539354770747,-87.55539354770747,0.0,0.0,0.0,119.41212291500827
1982-12-01,210.69334370289826,-433.5769548112947,666.5748448309354,210.69334370289826,210.69334370289826,-58.39526999750422,-58.39526999750422,-58.39526999750422,-58.39526999750422,-58.39526999750422,-58.39526999750422,0.0,0.0,0.0,152.29807370539405
1983-01-01,214.5433651844202,-342.2965240850667,751.7700563590809,214.5433651844202,214.5433651844202,3.500669321949303,3.500669321949303,3.500669321949303,3.500669321949303,3.500669321949303,3.500669321949303,0.0,0.0,0.0,218.04403450636948
1983-02-01,218.39338666594207,-320.7992020233201,809.1107914189301,218.39338666594207,218.39338666594207,11.570957064030388,11.570957064030388,11.570957064030388,11.570957064030388,11.570957064030388,11.570957064030388,0.0,0.0,0.0,229.96434372997246
1983-03-01,221.87082542344575,-552.4110272135317,577.8202879919249,221.87082542344575,221.87082542344575,-184.0106350087651,-184.0106350087651,-184.0106350087651,-184.0106350087651,-184.0106350087651,-184.0106350087651,0.0,0.0,0.0,37.86019041468066
1983-04-01,225.72084690496766,-385.724882821731,731.0422552056076,225.72084690496766,225.72084690496766,-92.88620381855465,-92.88620381855465,-92.88620381855465,-92.88620381855465,-92.88620381855465,-92.88620381855465,0.0,0.0,0.0,132.834643086413
1983-05-01,229.44667414515015,-345.866250186424,759.6530883134268,229.44667414515015,229.44667414515015,-20.299656402124437,-20.299656402124437,-20.299656402124437,-20.299656402124437,-20.299656402124437,-20.299656402124437,0.0,0.0,0.0,209.1470177430257
1983-06-01,233.2966956266721,-312.1374761777127,740.6152878086732,233.2966956266721,233.2966956266721,-5.390484710931537,-5.390484710931537,-5.390484710931537,-5.390484710931537,-5.390484710931537,-5.390484710931537,0.0,0.0,0.0,227.90621091574056
1983-07-01,237.02252286685462,-292.67005445647015,778.7658698140436,237.02252286685462,237.02252286685462,-3.107141198160417,-3.107141198160417,-3.107141198160417,-3.107141198160417,-3.107141198160417,-3.107141198160417,0.0,0.0,0.0,233.9153816686942
1983-08-01,240.87254440347718,-357.50214556196494,724.5713529693764,240.87254440347718,240.87254440347718,-48.730453734673894,-48.730453734673894,-48.730453734673894,-48.730453734673894,-48.730453734673894,-48.730453734673894,0.0,0.0,0.0,192.1420906688033
1983-09-01,244.72256594009977,-450.99371902390203,711.7020007068203,244.72256594009977,244.72256594009977,-89.89615132241134,-89.89615132241134,-89.89615132241134,-89.89615132241134,-89.89615132241134,-89.89615132241134,0.0,0.0,0.0,154.82641461768844
1983-10-01,248.4483932336055,-428.2298775909147,737.7364802034384,248.4483932336055,248.4483932336055,-126.40649224231329,-126.40649224231329,-126.40649224231329,-126.40649224231329,-126.40649224231329,-126.40649224231329,0.0,0.0,0.0,122.0419009912922
1983-11-01,252.2984147702281,-408.3279739128004,714.5431057741872,252.2984147702281,252.2984147702281,-106.73863187761461,-106.73863187761461,-106.73863187761461,-106.73863187761461,-106.73863187761461,-106.73863187761461,0.0,0.0,0.0,145.5597828926135
1983-12-01,256.0242420637338,-363.257992030885,753.4822907680046,256.0242420637338,256.0242420637338,-43.79776368379724,-43.79776368379724,-43.79776368379724,-43.79776368379724,-43.79776368379724,-43.79776368379724,0.0,0.0,0.0,212.22647837993657
1984-01-01,259.87426360035647,-231.02421614937612,863.2209163473657,259.87426360035647,259.87426360035647,46.76536785405923,46.76536785405923,46.76536785405923,46.76536785405923,46.76536785405923,46.76536785405923,0.0,0.0,0.0,306.6396314544157
1984-02-01,263.72428513697906,-204.48172553769487,941.2798698646158,263.72428513697906,263.72428513697906,80.22808051318934,80.22808051318934,80.22808051318934,80.22808051318934,80.22808051318934,80.22808051318934,0.0,0.0,0.0,343.9523656501684
1984-03-01,267.32591818736796,-168.7414440557779,940.966919139055,267.32591818736796,267.32591818736796,104.37428232013279,104.37428232013279,104.37428232013279,104.37428232013279,104.37428232013279,104.37428232013279,0.0,0.0,0.0,371.70020050750077
1984-04-01,271.17593972399055,-291.7697607810723,824.5623509283411,271.17593972399055,271.17593972399055,0.18498458564749445,0.18498458564749445,0.18498458564749445,0.18498458564749445,0.18498458564749445,0.18498458564749445,0.0,0.0,0.0,271.36092430963805
1984-05-01,274.9017670174963,-361.0839917735591,767.9799460861085,274.9017670174963,274.9017670174963,-78.59549738193343,-78.59549738193343,-78.59549738193343,-78.59549738193343,-78.59549738193343,-78.59549738193343,0.0,0.0,0.0,196.30626963556287
1984-06-01,278.7517885541189,-350.9976133096981,722.5425053714922,278.7517885541189,278.7517885541189,-96.33595094195768,-96.33595094195768,-96.33595094195768,-96.33595094195768,-96.33595094195768,-96.33595094195768,0.0,0.0,0.0,182.41583761216123
1984-07-01,282.4776158260706,-380.7517253616791,778.9879338737088,282.4776158260706,282.4776158260706,-78.86469453483492,-78.86469453483492,-78.86469453483492,-78.86469453483492,-78.86469453483492,-78.86469453483492,0.0,0.0,0.0,203.61292129123564
1984-08-01,286.3276373404207,-353.60642038775785,773.5277359184745,286.3276373404207,286.3276373404207,-77.53858485616678,-77.53858485616678,-77.53858485616678,-77.53858485616678,-77.53858485616678,-77.53858485616678,0.0,0.0,0.0,208.78905248425394
1984-09-01,290.1776588547708,-298.90089572575636,832.8712391519288,290.1776588547708,290.1776588547708,-21.121295910021146,-21.121295910021146,-21.121295910021146,-21.121295910021146,-21.121295910021146,-21.121295910021146,0.0,0.0,0.0,269.05636294474965
1984-10-01,293.90348612672256,-286.91800847744696,828.4132721309736,293.90348612672256,293.90348612672256,-27.668764174873992,-27.668764174873992,-27.668764174873992,-27.668764174873992,-27.668764174873992,-27.668764174873992,0.0,0.0,0.0,266.23472195184854
1984-11-01,297.75350764107264,-326.25575946083427,782.9458980493487,297.75350764107264,297.75350764107264,-45.91818843851024,-45.91818843851024,-45.91818843851024,-45.91818843851024,-45.91818843851024,-45.91818843851024,0.0,0.0,0.0,251.8353192025624
1984-12-01,301.4793349130244,-303.99983327648107,766.8434494631426,301.4793349130244,301.4793349130244,-83.6380124790532,-83.6380124790532,-83.6380124790532,-83.6380124790532,-83.6380124790532,-83.6380124790532,0.0,0.0,0.0,217.8413224339712
1985-01-01,305.32935642737453,-342.67012372793715,793.6821079456707,305.32935642737453,305.32935642737453,-81.51037931182574,-81.51037931182574,-81.51037931182574,-81.51037931182574,-81.51037931182574,-81.51037931182574,0.0,0.0,0.0,223.8189771155488
1985-02-01,309.1793779417247,-382.53286198471125,729.8595733045325,309.1793779417247,309.1793779417247,-131.47419324665887,-131.47419324665887,-131.47419324665887,-131.47419324665887,-131.47419324665887,-131.47419324665887,0.0,0.0,0.0,177.7051846950658
1985-03-01,312.65681672887956,-234.67450120329946,867.8772785515812,312.65681672887956,312.65681672887956,9.444626340434867,9.444626340434867,9.444626340434867,9.444626340434867,9.444626340434867,9.444626340434867,0.0,0.0,0.0,322.1014430693144
1985-04-01,316.5068382432296,-278.594118262435,884.8176816348393,316.5068382432296,316.5068382432296,-32.33522704765852,-32.33522704765852,-32.33522704765852,-32.33522704765852,-32.33522704765852,-32.33522704765852,0.0,0.0,0.0,284.1716111955711
1985-05-01,320.2326656603694,-255.78940005358024,860.2536955363337,320.2326656603694,320.2326656603694,-60.60188328886051,-60.60188328886051,-60.60188328886051,-60.60188328886051,-60.60188328886051,-60.60188328886051,0.0,0.0,0.0,259.6307823715089
1985-06-01,324.08268732474704,-266.2577399086439,856.3515415311329,324.08268732474704,324.08268732474704,-66.48741662187842,-66.48741662187842,-66.48741662187842,-66.48741662187842,-66.48741662187842,-66.48741662187842,0.0,0.0,0.0,257.5952707028686
1985-07-01,327.8085147418867,-271.99745950411267,868.8467964196482,327.8085147418867,327.8085147418867,-53.04184364779311,-53.04184364779311,-53.04184364779311,-53.04184364779311,-53.04184364779311,-53.04184364779311,0.0,0.0,0.0,274.7666710940936
1985-08-01,331.65853640626443,-286.28722882650436,806.5467727730555,331.65853640626443,331.65853640626443,-66.77164483141208,-66.77164483141208,-66.77164483141208,-66.77164483141208,-66.77164483141208,-66.77164483141208,0.0,0.0,0.0,264.88689157485237
1985-09-01,335.5085580706421,-280.654455884389,846.9910301483926,335.5085580706421,335.5085580706421,-43.08183460453383,-43.08183460453383,-43.08183460453383,-43.08183460453383,-43.08183460453383,-43.08183460453383,0.0,0.0,0.0,292.4267234661083
1985-10-01,339.2343854877818,-274.97863030278245,834.5914101937067,339.2343854877818,339.2343854877818,-60.74101263122417,-60.74101263122417,-60.74101263122417,-60.74101263122417,-60.74101263122417,-60.74101263122417,0.0,0.0,0.0,278.49337285655764
1985-11-01,343.0844071521595,-290.97188707984486,805.2341814522838,343.0844071521595,343.0844071521595,-67.27114501589654,-67.27114501589654,-67.27114501589654,-67.27114501589654,-67.27114501589654,-67.27114501589654,0.0,0.0,0.0,275.81326213626295
1985-12-01,346.81023456929927,-294.8378698233099,839.8852768458237,346.81023456929927,346.81023456929927,-71.68467937147499,-71.68467937147499,-71.68467937147499,-71.68467937147499,-71.68467937147499,-71.68467937147499,0.0,0.0,0.0,275.12555519782427
