date,value
1950-01-01,17.049999237060547
1950-02-01,17.049999237060547
1950-03-01,17.239999771118164
1950-04-01,17.290000915527344
1950-05-01,18.21999931335449
1950-06-01,18.770000457763672
1950-07-01,17.690000534057617
1950-08-01,18.020000457763672
1950-09-01,18.549999237060547
1950-10-01,19.450000762939453
1950-11-01,19.559999465942383
1950-12-01,19.65999984741211
1951-01-01,20.43000030517578
1951-02-01,21.770000457763672
1951-03-01,21.850000381469727
1951-04-01,21.479999542236328
1951-05-01,22.530000686645508
1951-06-01,21.479999542236328
1951-07-01,20.959999084472656
1951-08-01,22.51000022888184
1951-09-01,23.280000686645508
1951-10-01,23.46999931335449
1951-11-01,23.100000381469727
1951-12-01,22.8799991607666
1952-01-01,23.770000457763672
1952-02-01,24.299999237060547
1952-03-01,23.26000022888184
1952-04-01,24.18000030517578
1952-05-01,23.170000076293945
1952-06-01,23.86000061035156
1952-07-01,25.1200008392334
1952-08-01,25.450000762939453
1952-09-01,25.030000686645508
1952-10-01,24.479999542236328
1952-11-01,24.520000457763672
1952-12-01,25.68000030517578
1953-01-01,26.56999969482422
1953-02-01,26.3799991607666
1953-03-01,25.899999618530277
1953-04-01,25.25
1953-05-01,24.729999542236328
1953-06-01,24.149999618530277
1953-07-01,24.239999771118164
1953-08-01,24.75
1953-09-01,23.420000076293945
1953-10-01,23.489999771118164
1953-11-01,24.540000915527344
1953-12-01,24.780000686645508
1954-01-01,24.809999465942383
1954-02-01,25.989999771118164
1954-03-01,26.25
1954-04-01,27.170000076293945
1954-05-01,28.26000022888184
1954-06-01,29.190000534057617
1954-07-01,29.209999084472656
1954-08-01,30.8799991607666
1954-09-01,30.040000915527344
1954-10-01,32.290000915527344
1954-11-01,31.790000915527344
1954-12-01,33.9900016784668
1955-01-01,35.97999954223633
1955-02-01,36.720001220703125
1955-03-01,36.83000183105469
1955-04-01,36.95000076293945
1955-05-01,37.959999084472656
1955-06-01,37.959999084472656
1955-07-01,41.18999862670898
1955-08-01,42.93000030517578
1955-09-01,43.369998931884766
1955-10-01,43.66999816894531
1955-11-01,42.27999877929688
1955-12-01,45.34999847412109
1956-01-01,45.47999954223633
1956-02-01,44.02999877929688
1956-03-01,45.540000915527344
1956-04-01,48.47999954223633
1956-05-01,48.15999984741211
1956-06-01,45.58000183105469
1956-07-01,46.970001220703125
1956-08-01,49.619998931884766
1956-09-01,47.5099983215332
1956-10-01,44.70000076293945
1956-11-01,46.52000045776367
1956-12-01,45.08000183105469
1957-01-01,46.66999816894531
1957-02-01,44.619998931884766
1957-03-01,43.7400016784668
1957-04-01,44.13999938964844
1957-05-01,46.02000045776367
1957-06-01,47.43000030517578
1957-07-01,47.43000030517578
1957-08-01,47.790000915527344
1957-09-01,45.220001220703125
1957-10-01,42.7599983215332
1957-11-01,40.43999862670898
1957-12-01,41.720001220703125
1958-01-01,39.9900016784668
1958-02-01,41.70000076293945
1958-03-01,40.84000015258789
1958-04-01,41.93000030517578
1958-05-01,43.540000915527344
1958-06-01,44.09000015258789
1958-07-01,45.27999877929688
1958-08-01,47.4900016784668
1958-09-01,47.75
1958-10-01,49.97999954223633
1958-11-01,51.33000183105469
1958-12-01,52.68999862670898
1959-01-01,55.209999084472656
1959-02-01,55.45000076293945
1959-03-01,55.40999984741211
1959-04-01,55.68999862670898
1959-05-01,57.650001525878906
1959-06-01,58.630001068115234
1959-07-01,58.970001220703125
1959-08-01,60.5099983215332
1959-09-01,58.869998931884766
1959-10-01,56.93999862670898
1959-11-01,57.52000045776367
1959-12-01,58.70000076293945
1960-01-01,59.88999938964844
1960-02-01,55.959999084472656
1960-03-01,56.0099983215332
1960-04-01,55.43000030517578
1960-05-01,54.369998931884766
1960-06-01,55.88999938964844
1960-07-01,57.060001373291016
1960-08-01,55.52999877929688
1960-09-01,57.09000015258789
1960-10-01,53.52000045776367
1960-11-01,53.93999862670898
1960-12-01,55.29999923706055
1961-01-01,58.11000061035156
1961-02-01,61.900001525878906
1961-03-01,63.43000030517578
1961-04-01,65.05999755859375
1961-05-01,65.16999816894531
1961-06-01,66.55999755859375
1961-07-01,64.63999938964844
1961-08-01,67.37000274658203
1961-09-01,68.19000244140625
1961-10-01,66.7300033569336
1961-11-01,68.7300033569336
1961-12-01,71.77999877929688
1962-01-01,71.55000305175781
1962-02-01,69.26000213623047
1962-03-01,70.19999694824219
1962-04-01,69.55000305175781
1962-05-01,65.69999694824219
1962-06-01,59.380001068115234
1962-07-01,54.75
1962-08-01,57.75
1962-09-01,59.119998931884766
1962-10-01,55.4900016784668
1962-11-01,57.119998931884766
1962-12-01,62.2599983215332
1963-01-01,63.09999847412109
1963-02-01,66.30999755859375
1963-03-01,64.0999984741211
1963-04-01,66.8499984741211
1963-05-01,69.97000122070312
1963-06-01,70.80000305175781
1963-07-01,68.86000061035156
1963-08-01,69.06999969482422
1963-09-01,72.5
1963-10-01,72.22000122070312
1963-11-01,73.83000183105469
1963-12-01,73.2300033569336
1964-01-01,75.0199966430664
1964-02-01,77.04000091552734
1964-03-01,77.80000305175781
1964-04-01,79.23999786376953
1964-05-01,80.16999816894531
1964-06-01,80.11000061035156
1964-07-01,82.2699966430664
1964-08-01,83.18000030517578
1964-09-01,82.18000030517578
1964-10-01,84.08000183105469
1964-11-01,84.86000061035156
1964-12-01,83.55000305175781
1965-01-01,84.75
1965-02-01,87.58000183105469
1965-03-01,87.25
1965-04-01,86.31999969482422
1965-05-01,89.11000061035156
1965-06-01,88.72000122070312
1965-07-01,84.4800033569336
1965-08-01,85.25
1965-09-01,87.16999816894531
