date,value
1981-09-01,123.0199966430664
1981-10-01,117.08000183105467
1981-11-01,121.88999938964844
1981-12-01,126.0999984741211
1982-01-01,122.5500030517578
1982-02-01,117.77999877929688
1982-03-01,113.30999755859376
1982-04-01,113.79000091552734
1982-05-01,116.44000244140624
1982-06-01,111.68000030517578
1982-07-01,108.70999908447266
1982-08-01,107.08999633789062
1982-09-01,118.25
1982-10-01,121.97000122070312
1982-11-01,135.47000122070312
1982-12-01,138.72000122070312
1983-01-01,140.63999938964844
1983-02-01,142.9600067138672
1983-03-01,150.8800048828125
1983-04-01,152.9600067138672
1983-05-01,164.42999267578125
1983-06-01,162.5500030517578
1983-07-01,168.63999938964844
1983-08-01,162.0399932861328
1983-09-01,164.22999572753906
1983-10-01,166.07000732421875
1983-11-01,163.66000366210938
1983-12-01,166.49000549316406
1984-01-01,164.92999267578125
1984-02-01,162.74000549316406
1984-03-01,158.19000244140625
1984-04-01,159.17999267578125
1984-05-01,161.67999267578125
1984-06-01,153.24000549316406
1984-07-01,153.17999267578125
1984-08-01,154.0800018310547
1984-09-01,166.67999267578125
1984-10-01,164.6199951171875
1984-11-01,167.49000549316406
1984-12-01,163.5800018310547
1985-01-01,167.24000549316406
1985-02-01,178.6300048828125
1985-03-01,183.22999572753903
1985-04-01,181.2700042724609
1985-05-01,178.3699951171875
1985-06-01,189.5500030517578
1985-07-01,192.42999267578125
1985-08-01,192.1100006103516
1985-09-01,188.6300048828125
1985-10-01,185.07000732421875
1985-11-01,191.52999877929688
1985-12-01,202.1699981689453
1986-01-01,211.27999877929688
1986-02-01,211.77999877929688
1986-03-01,226.9199981689453
1986-04-01,235.13999938964844
1986-05-01,235.16000366210935
1986-06-01,247.3500061035156
1986-07-01,252.0399932861328
1986-08-01,234.91000366210935
1986-09-01,252.92999267578125
1986-10-01,233.6000061035156
1986-11-01,243.97999572753903
1986-12-01,249.0500030517578
1987-01-01,242.1699981689453
1987-02-01,274.0799865722656
1987-03-01,284.20001220703125
1987-04-01,292.3800048828125
1987-05-01,288.0299987792969
1987-06-01,289.8299865722656
1987-07-01,302.94000244140625
1987-08-01,318.6600036621094
1987-09-01,323.3999938964844
1987-10-01,327.3299865722656
1987-11-01,251.7899932861328
1987-12-01,232.0
1988-01-01,247.0800018310547
1988-02-01,255.0399932861328
1988-03-01,267.2200012207031
1988-04-01,258.8900146484375
1988-05-01,261.3299865722656
1988-06-01,266.69000244140625
1988-07-01,271.7799987792969
1988-08-01,272.2099914550781
1988-09-01,258.3500061035156
1988-10-01,271.9100036621094
1988-11-01,279.0599975585937
1988-12-01,272.489990234375
1989-01-01,277.7200012207031
1989-02-01,297.0899963378906
1989-03-01,287.1099853515625
1989-04-01,294.8699951171875
1989-05-01,309.1199951171875
1989-06-01,321.9700012207031
1989-07-01,317.9800109863281
1989-08-01,343.75
1989-09-01,353.7300109863281
1989-10-01,349.1499938964844
1989-11-01,341.20001220703125
1989-12-01,350.6300048828125
1990-01-01,353.3999938964844
1990-02-01,328.7900085449219
1990-03-01,332.739990234375
1990-04-01,339.94000244140625
