Intercensal Estimates of the Resident Population of States
  1970 to 1980.

Source: Population Distribution Branch
        Bureau of the Census

The 1971-79 estimates are consistent with those published in
Current Population Reports Series P-25, No. 998.  P-25 No. 998
also describes the methodology used to derive the estimates.

Note: Each State Fips code shows 23 lines of data (ages 62-64 are by sex).
No other state age-sex estimates are available for the 1970's.

Fip        Age  4/1/70  7/1/71  7/1/72  7/1/73  7/1/74  7/1/75  7/1/76  7/1/77  7/1/78  7/1/79  4/1/80
 5 AR      0-2   94367   99965  102069  101980   99986  102244  101600  103681  104591  106788  106859
 5 AR      3-4   63720   62734   63954   66885   71064   71532   68357   67830   69427   69680   68733
 5 AR     5-13  343562  341625  339586  338187  336788  339507  334571  331814  328090  325398  327345
 5 AR       14   39533   40948   41018   41684   42141   43264   42874   43736   43119   41509   38511
 5 AR       15   39322   39976   41508   41727   42306   43204   43175   43371   44160   43442   42655
 5 AR       16   38285   39625   40318   42050   42215   43277   43053   43649   43806   44540   43677
 5 AR       17   36722   38888   39833   40496   42013   42538   42337   42579   43057   42997   43594
 5 AR       18   35762   35156   37071   37899   38715   40651   40195   40666   40998   41344   41939
 5 AR       19   32283   34259   34370   36353   37796   39044   40304   40683   41399   41742   42457
 5 AR       20   30784   32612   34320   33755   36347   37797   38057   39698   39800   40093   40940
 5 AR       21   30040   30636   33114   33670   33678   36243   36920   37717   39180   39050   39250
 5 AR       22   29737   31514   32016   33237   33916   34004   35621   36735   37359   38549   38683
 5 AR       23   29542   30553   32525   32210   33454   34275   33431   35364   36299   36684   37564
 5 AR       24   22990   33486   32550   34006   33553   34940   34836   34332   36102   36796   37332
 5 AR    25-29  115839  120869  133852  142039  152777  163489  172037  172699  174169  175112  174313
 5 AR    30-34   99014  102835  108190  115210  121042  127300  128825  141148  148479  156981  161024
 5 AR    35-44  197799  198481  201091  204644  208995  215129  218137  225455  234772  242290  247415
 5 AR    45-54  208150  211142  214176  216791  217366  219704  216967  217029  217814  217887  217759
 5 AR    55-59  101664  101459  101332  102037  104267  108938  109833  112933  114662  114864  113577
 5 AR    60-61   40242   40783   40314   41031   41298   41785   40852   40093   40711   42927   45590
 5 AR   62-64M   26549   27191   28314   28914   29592   30102   30044   30294   30073   29613   29593
 5 AR   62-64F   30715   31841   33439   33887   34464   35007   34950   35621   35492   35447   35148
 5 AR      65+  236701  245734  253679  260566  267630  275551  283187  291883  299566  307602  312477
 6 CA      0-2  981425 1004203  977573  928706  880521  884001  905356  947686  981305 1024415 1053593
 6 CA      3-4  663084  647216  650278  671373  684025  651401  604344  592058  610796  633701  654807
 6 CA     5-13 3500835 3463086 3407436 3358793 3320155 3286948 3260283 3200837 3140293 3085910 3078742
 6 CA       14  385531  402418  401270  401057  404013  417305  412289  406808  402346  383901  367625
 6 CA       15  377538  385821  401088  401511  402123  406130  420091  415147  411330  405486  394656
 6 CA       16  368625  376444  382837  399948  401606  403672  408642  423176  420368  415496  413416
 6 CA       17  366582  376324  381295  389109  407812  409825  412581  417590  433542  429107  426119
 6 CA       18  355456  379117  385236  391443  399252  416216  417544  417637  422775  436338  432864
 6 CA       19  351665  373008  395819  404517  410857  420916  441004  443022  447148  452598  463410
 6 CA       20  360801  374932  387284  411993  420364  426747  437548  458078  462557  465519  468066
 6 CA       21  350539  353813  371043  386882  411599  420665  429041  440087  463304  467072  464384
 6 CA       22  366758  350658  354290  371305  387306  413554  424560  433849  447077  470241  474786
 6 CA       23  371321  352719  349418  355604  373913  392474  420907  433746  445823  458788  474728
 6 CA       24  295731  403058  365295  362357  368684  389342  408911  438236  452800  463065  474001
 6 CA    25-29 1460385 1513641 1643955 1696682 1761002 1835504 1944679 1958472 2046312 2142967 2232964
 6 CA    30-34 1221382 1279066 1335681 1429669 1503031 1573833 1625278 1777264 1848164 1920799 2010051
 6 CA    35-44 2362255 2339925 2332022 2342614 2361061 2381965 2431466 2503850 2627472 2727221 2814938
 6 CA    45-54 2332998 2368845 2383167 2397529 2403886 2407756 2401937 2383470 2376876 2358721 2359934
 6 CA    55-59  934263  952469  960968  974789  996120 1032198 1072692 1119214 1159474 1186829 1202140
 6 CA    60-61  332691  339216  338579  347500  357083  365617  369123  369764  380409  398500  422068
 6 CA   62-64M  205745  214171  222965  227851  233622  237664  246022  254276  260212  262917  267502
 6 CA   62-64F  233135  244052  254415  260145  266146  271036  280163  289105  295075  298422  302858
 6 CA      65+ 1792324 1851739 1903559 1957356 2019690 2093082 2161452 2229029 2300505 2368874 2414250
 8 CO      0-2  112703  119440  121112  119631  116728  117842  119945  125224  129447  136026  134009
 8 CO      3-4   73927   75253   79233   83458   84543   82211   79256   79058   81239   84330   82486
 8 CO     5-13  412934  415213  418490  419916  414908  407953  401381  396687  393109  393964  394186
 8 CO       14   45697   48806   50252   51839   52228   53716   52549   51362   50020   47615   45096
 8 CO       15   44312   46821   50107   51456   52195   52486   53955   53238   52201   51159   49353
 8 CO       16   43425   45226   47595   50724   51141   51699   51878   53704   53081   52291   51254
 8 CO       17   42265   44993   46796   49029   51258   51324   51754   52164   53896   53396   52429
 8 CO       18   44156   46294   49176   51144   52424   54370   54468   54901   55413   57396   55690
 8 CO       19   43607   46753   50346   53417   53928   55296   57589   57753   58696   59392   59862
 8 CO       20   44067   46820   50092   53468   54984   55365   56832   59122   59675   60666   60376
 8 CO       21   44712   43177   47468   50519   52267   53773   54455   55952   58638   59330   59490
 8 CO       22   42430   45084   45239   48985   50640   52590   54449   55405   57342   60409   60488
 8 CO       23   41457   42683   46813   46623   49253   51201   53401   55659   57031   59261   60835
 8 CO       24   32065   46339   45966   49879   48400   51333   53410   55882   58482   59997   61417
 8 CO    25-29  157659  167987  191196  207655  223649  238586  257772  264654  277304  289928  302601
 8 CO    30-34  134013  143328  154528  169679  179463  188024  194583  216097  231069  251295  266944
 8 CO    35-44  256059  262673  272373  281641  285084  288193  293887  303585  319404  335847  346953
 8 CO    45-54  234575  243705  252829  260649  263013  264259  264309  265084  266699  269324  270860
 8 CO    55-59   93293   96538  100158  104022  106726  109922  112897  117517  121180  124812  125711
 8 CO    60-61   33946   35267   35806   36918   37430   37723   38017   38674   39988   42071   43690
 8 CO   62-64M   21447   22662   23932   24713   25043   25049   25273   25697   26312   27166   27836
 8 CO   62-64F   23714   25123   26950   28030   28497   28527   28870   29544   30017   30654   31073
 8 CO      65+  187133  193339  198164  202477  207603  214751  221374  229179  236505  242905  247325
 9 CT      0-2  146919  145511  137372  126033  114395  109700  107425  107818  108257  110480  112484
 9 CT      3-4  106520  100538   98410   99107   97671   89911   79892   74704   73619   72767   72704
 9 CT     5-13  541108  535757  524547  513740  502167  491523  479920  462745  442356  421322  406919
 9 CT       14   59494   61321   61930   61593   59826   61152   59512   58451   58642   56958   55122
