Intercensal Estimates of the Resident Population of States
  1970 to 1980.

Source: Population Distribution Branch
        Bureau of the Census

The 1971-79 estimates are consistent with those published in
Current Population Reports Series P-25, No. 998.  P-25 No. 998
also describes the methodology used to derive the estimates.

Note: Each State Fips code shows 23 lines of data (ages 62-64 are by sex).
No other state age-sex estimates are available for the 1970's.

Fip        Age  4/1/70  7/1/71  7/1/72  7/1/73  7/1/74  7/1/75  7/1/76  7/1/77  7/1/78  7/1/79  4/1/80
17 IL       16  205966  214008  216044  224385  225610  225466  225010  228259  221611  215987  210909
17 IL       17  203338  207529  212582  214354  222946  224756  224970  224190  227466  219795  215191
17 IL       18  198748  199660  202963  206841  208885  217398  219064  218527  217248  218986  213991
17 IL       19  186941  195454  198831  202088  207625  210149  219596  221469  221198  219391  221206
17 IL       20  175942  191612  198609  199910  204778  209808  212258  221073  222085  220665  218741
17 IL       21  165292  174888  191665  194648  196974  201050  206359  208410  216430  216612  213348
17 IL       22  177520  169484  177918  190213  193490  195809  200181  205473  207466  214995  216551
17 IL       23  180333  173201  171805  177725  190113  193547  196292  200561  205966  207603  212112
17 IL       24  144687  198646  181642  178055  183671  196194  199909  202084  206058  210673  212256
17 IL    25-29  747497  759472  811587  822152  844201  876267  927126  927455  947005  969537  985619
17 IL    30-34  636407  654653  679697  716857  739572  757847  765070  816689  829006  845663  869244
17 IL    35-44 1268996 1245525 1231613 1218575 1210704 1200239 1207789 1227834 1265261 1285427 1293695
17 IL    45-54 1297064 1296461 1292114 1284572 1272914 1262629 1250694 1230025 1209642 1181570 1161441
17 IL    55-59  568508  571884  571814  569456  569816  574478  580403  590090  595706  596037  593160
17 IL    60-61  205334  207964  204560  205934  208520  210561  210348  207136  206382  208815  214369
17 IL   62-64M  127947  130775  134463  135086  135634  135182  136912  139493  139873  137920  136532
17 IL   62-64F  144870  149607  154513  155887  156497  156647  158909  161836  161984  160623  159331
17 IL      65+ 1088911 1106272 1119698 1132522 1148032 1170033 1191432 1210508 1226492 1245522 1261885
18 IN      0-2  269901  277274  275314  266561  250919  244569  241571  244226  245536  250370  255647
18 IN      3-4  186037  180787  179522  182786  188478  184140  171574  164448  163554  162632  163117
18 IN     5-13  968734  950308  932325  913865  894463  872364  860920  844923  826329  808162  794128
18 IN       14  107046  110968  110827  109849  108568  109936  107151  105259  104831  100001   93753
18 IN       15  106373  106388  110495  110617  109532  108048  110039  107531  106147  105516  101857
18 IN       16  102749  104966  105352  109689  109714  108444  107589  109855  107887  106291  105262
18 IN       17  100849  102801  104189  104636  108678  108428  107510  106771  109634  107318  104554
18 IN       18  100858  101916  103786  104855  105306  108969  108907  108276  108002  110414  106419
18 IN       19   92023   98812  102180  104417  106394  106266  110555  111400  111454  111041  111536
18 IN       20   88936   93097   98936  101308  104379  105100  104969  109584  110243  109579  108520
18 IN       21   83938   85372   91078   94824   97879   99800  101066  101780  106487  106907  106682
18 IN       22   87095   86707   87168   90470   93853   95826   97707   99359  100135  104216  104355
18 IN       23   87572   86427   88029   87090   89915   92360   94436   96499   98302   98685  100431
18 IN       24   67578   97175   90667   91220   89439   91265   93819   95977   98045   99288   98673
18 IN    25-29  346130  353121  382878  395963  414096  427852  447832  444501  451250  457546  462851
18 IN    30-34  293810  301397  312204  328499  338099  345177  348285  376215  389488  405619  411557
18 IN    35-44  582781  572530  568293  565866  564564  559127  562812  573192  594195  609130  613583
18 IN    45-54  579315  582897  586808  590101  589007  584516  580268  573164  568744  560553  550112
18 IN    55-59  244140  247332  248641  250200  252584  255989  260267  267824  274066  278508  278021
18 IN    60-61   88781   89419   89283   90740   91868   92202   92736   92296   92842   95485   97925
18 IN   62-64M   55871   57503   59333   59932   60503   60618   61570   62529   63169   63023   62588
18 IN   62-64F   63104   65260   67451   68400   69159   69385   70676   71896   73182   73535   73269
18 IN      65+  491771  500942  507678  516392  524494  535385  546830  558132  566691  577357  585384
19 IA      0-2  138000  138863  133988  126221  118508  117899  120258  125392  128820  132769  137134
19 IA      3-4   95334   92894   92254   93449   93545   88888   81878   78512   79965   82047   84494
19 IA     5-13  515739  505821  494093  481843  469559  458312  448637  433562  416295  400989  394430
19 IA       14   58314   59313   59247   59060   59327   60205   59029   56973   55020   51423   48311
19 IA       15   57003   57770   58902   58957   58813   59299   60283   58861   56695   54670   51934
19 IA       16   55992   56569   57020   58271   58383   58476   59122   59863   58302   56080   54449
19 IA       17   55403   55693   55773   56256   57395   57781   57945   58221   58934   57251   55121
19 IA       18   55696   53525   53698   53704   54331   55900   56503   56529   56950   57576   56874
19 IA       19   49659   52810   51814   52462   53205   54360   56493   57241   57675   58289   59255
19 IA       20   45220   49575   51659   50318   51640   52531   53813   55563   56128   56256   57650
19 IA       21   42007   44254   48246   49213   48400   49837   51061   52188   53891   54358   55065
19 IA       22   42637   44771   45720   48516   49371   48754   50221   51168   52249   53756   54541
19 IA       23   41501   43782   45952   46196   48742   49710   49118   50151   51012   51915   52618
19 IA       24   32435   47522   46219   47893   47627   50076   51000   49844   50603   51136   52150
19 IA    25-29  167626  171892  187070  196360  209196  222570  239833  241856  243926  244103  243200
19 IA    30-34  147356  150560  153718  160399  164660  168470  170570  184413  191979  201494  205954
19 IA    35-44  297106  292369  289503  286790  285457  284636  287781  290967  297627  301830  302697
19 IA    45-54  311198  310378  309203  308031  305269  303296  301297  296604  291978  286278  281422
19 IA    55-59  140666  141255  140648  140582  141788  143734  145471  147609  147986  147197  145854
19 IA    60-61   53983   53810   52555   52837   52643   52713   53405   53120   52981   53973   54915
19 IA   62-64M   34441   35185   36342   36517   36646   36328   36641   36764   36746   36575   36420
19 IA   62-64F   38788   39850   40831   41053   41166   40957   41413   41707   41924   41864   41736
19 IA      65+  349264  353245  355834  358787  361863  366116  371310  376465  380385  383910  387584
20 KS      0-2  104648  106766  104864  100823   95683   95539   97703  102236  105564  108228  111892
20 KS      3-4   70666   67510   68244   70588   72085   69711   64975   62725   63470   65590   68985
20 KS     5-13  395524  379695  368201  358140  348746  340028  334398  325832  316196  309000  308102
20 KS       14   45233   45782   45309   44843   44811   45532   43900   42807   41216   38356   36276
20 KS       15   45407   44347   45507   45281   44844   44934   45843   44210   43107   41594   39323
20 KS       16   43586   44144   43717   45055   44810   44451   44668   45525   43854   42797   41661
20 KS       17   42651   43638   44240   43892   45128   44845   44595   44747   45464   43783   42796
20 KS       18   43928   44413   45655   46307   45750   46928   46826   46433   46470   47241   44837
20 KS       19   42009   44142   45875   47068   47473   47146   48858   48853   48575   48761   49104
20 KS       20   41986   43004   44537   45881   46909   47520   47575   49285   49200   48930   49149
20 KS       21   41311   39100   40593   41674   42878   44122   45210   45313   46872   46851   46962
20 KS       22   39559   40789   38859   39603   40542   42089   43722   44842   44801   46415   46564
20 KS       23   37450   38483   40242   38001   38686   39951   41839   43508   44500   44489   45320
20 KS       24   28347   40616   39372   40805   38345   39245   40738   42576   44050   44942   44793
20 KS    25-29  139268  141508  154386  161866  171263  179554  190672  191235  194254  196993  202671
20 KS    30-34  118453  118944  121872  127638  131622  135504  138153  150841  158316  167788  171947
20 KS    35-44  244199  237452  234788  232782  230897  229137  231015  234507  241074  247135  249640
20 KS    45-54  247621  245439  245677  246304  245445  244238  242897  240112  237345  234124  231429
20 KS    55-59  110387  109191  108425  108354  109317  111642  113739  116969  118939  120350  119932
20 KS    60-61   42355   41739   41199   41623   41486   40985   41398   41551   41549   42795   44208
20 KS   62-64M   27702   27671   27976   28092   28413   28429   28659   28511   28482   28363   28661
20 KS   62-64F   31452   31769   32458   32476   32511   32402   32697   32815   32966   33052   33164
20 KS      65+  265329  270459  274379  278506  281856  286646  290919  295214  299393  303331  306263
21 KY      0-2  160331  168938  171824  168556  160784  158837  159859  165060  168645  171749  172152
21 KY      3-4  111016  108407  108363  110553  116440  117470  111005  106497  107080  108865  110579
21 KY     5-13  585065  582473  576703  566070  557973  553841  554581  548954  539646  530025  528491
21 KY       14   66407   68910   69545   69088   69491   70116   69789   69648   69418   66807   62665
21 KY       15   65928   66896   69416   69627   69496   70255   70972   70319   70110   69735   68339
21 KY       16   63555   66177   66947   69046   69587   69810   70652   71041   70322   69963   69454
21 KY       17   63132   65428   67092   67549   70218   71135   71596   72145   72450   71611   71050
21 KY       18   62956   63580   64708   66250   67411   70062   71326   71129   71433   71637   71432
21 KY       19   63628   63395   63250   65162   67761   68989   72634   73407   73299   73925   74164
21 KY       20   59647   65105   62391   62937   65561   67428   69030   71480   71733   71556   72837
21 KY       21   55248   59108   62346   60859   62161   64199   66842   67673   69894   70477   70178
21 KY       22   55274   57223   58448   62138   60871   61656   64115   65911   66361   68692   69532
21 KY       23   53956   54964   56456   58581   62457   60997   62205   64020   65579   66156   67273
21 KY       24   41436   59893   56281   58284   60337   63989   62649   63037   64420   65817   66299
21 KY    25-29  204388  211637  230203  241248  257839  275599  299103  300462  304778  308133  309338
21 KY    30-34  176966  184835  191324  200771  207892  214563  220352  240782  251923  266437  276288
21 KY    35-44  350722  351321  350603  351405  355349  358857  367995  376609  389110  398727  404520
21 KY    45-54  349506  354755  359430  361606  362611  365266  366196  363337  360958  357538  354252
21 KY    55-59  155823  156685  156361  155687  157683  162519  166649  172729  176737  178592  178333
21 KY    60-61   58831   60399   59782   59565   59730   59557   59856   59119   58839   61396   64209
21 KY   62-64M   37669   38417   39970   40490   41025   41069   41377   41471   41547   41207   41188
21 KY   62-64F   43156   44357   46433   47324   48028   48257   48955   49203   49218   48507   48376
21 KY      65+  336071  345151  347856  358228  365610  373298  381520  389661  396476  404254  409828
22 LA      0-2  206358  209145  207885  201827  191919  189851  191706  198840  204363  212831  223113
22 LA      3-4  142251  138011  136899  137869  140978  139724  133182  128735  128763  131692  138420
22 LA     5-13  727812  719336  712032  698124  683206  675573  674307  664909  651009  640116  640480
22 LA       14   81217   83511   83526   83975   84425   84643   84022   83660   83353   81549   77281
22 LA       15   80951   80940   83629   83164   83573   84767   85323   84216   83679   83775   83477
22 LA       16   76223   80234   80632   82896   82465   83673   85261   85391   84175   84095   83922
22 LA       17   74453   77656   80475   80211   82414   82781   84016   85087   85012   84079   83775
22 LA       18   73986   73565   76185   78492   78777   82209   82277   83613   84833   85260   85659
22 LA       19   71040   73234   73146   75759   79165   81043   83821   84943   86708   88572   89324
22 LA       20   68481   72857   72910   72231   75846   80039   80284   83890   84472   86079   88826
22 LA       21   61013   67264   71052   70737   71127   75495   78582   79899   83198   83952   84875
22 LA       22   62561   63519   67357   70284   70427   71618   74785   78678   79634   83018   83986
22 LA       23   61333   61511   63205   66771   69951   70869   71029   74781   78320   79347   81635
22 LA       24   47246   67727   63580   64970   68615   72426   72516   72946   76317   79865   80954
22 LA    25-29  234118  241489  263380  274169  289404  310828  335813  341454  350559  361665  368732
22 LA    30-34  199202  205501  212635  222484  230320  239433  245118  268496  281120  297455  312027
22 LA    35-44  393960  391549  390237  388636  389184  393293  400864  410523  424408  439210  450219
22 LA    45-54  373499  379743  386656  389962  389920  391698  394669  394140  393113  393261  393906
22 LA    55-59  161661  160184  159750  159127  161741  168482  174338  181088  186036  189026  189278
22 LA    60-61   60281   62147   61019   60816   60062   59823   60271   59637   60559   64319   69599
22 LA   62-64M   37765   38363   40263   40993   41522   41426   41571   41915   41570   41561   41931
22 LA   62-64F   44224   45549   47733   48152   48626   48765   48939   49392   49123   49654   50202
22 LA      65+  305002  317455  327459  336725  346443  357645  367912  378229  388254  397285  404279
23 ME      0-2   49511   50970   51010   49575   47082   45815   45342   46199   47054   48162   47976
23 ME      3-4   35147   34007   33668   34034   35041   34580   32725   31226   30784   30692   30538
23 ME     5-13  181562  181134  180184  177357  175551  172951  171838  168850  164771  160521  158686
23 ME       14   19927   20880   21373   21493   21414   22001   21974   22013   21533   20787   19770
23 ME       15   19869   20038   21027   21395   21615   21484   22177   22063   22016   21504   21001
23 ME       16   19348   19849   20091   20982   21480   21676   21670   22308   22136   22080   21521
23 ME       17   18690   19620   19985   20089   21030   21492   21759   21654   22194   21968   21895
23 ME       18   18651   18903   19658   19873   20003   20939   21432   21607   21364   21821   21428
23 ME       19   17110   18213   18728   19458   19723   19949   20932   21449   21479   21245   21567
23 ME       20   17051   17162   17963   18293   19114   19435   19623   20577   20798   20805   20785
23 ME       21   16176   16112   16510   16940   17301   18161   18544   18792   19472   19764   20187
23 ME       22   16228   16941   16581   16530   16836   17306   18136   18544   18568   19298   19628
23 ME       23   15358   16455   17276   16661   16537   16964   17427   18266   18489   18559   18957
23 ME       24   11312   17478   17347   17976   17213   17116   17549   17994   18635   18849   18881
23 ME    25-29   58812   61756   68667   73291   79100   84611   90732   91055   91444   91788   92242
23 ME    30-34   51263   52634   54934   58609   61759   64526   66822   73909   78473   83920   86557
23 ME    35-44  109089  109178  110117  110011  110259  110416  111945  114288  118031  121235  122725
23 ME    45-54  109798  111206  112820  113710  114684  114894  115343  115281  114607  113625  112021
23 ME    55-59   49118   49608   50005   50412   51385   52499   53914   55500   56292   56663   56566
23 ME    60-61   19228   19057   18795   18936   19058   19353   19650   19529   19773   20391   20947
23 ME   62-64M   12279   12655   12972   13054   13188   13162   13360   13697   13853   13896   13837
23 ME   62-64F   14055   14760   15309   15307   15375   15235   15567   15795   15922   15992   16027
23 ME      65+  114140  116773  119272  121669  124292  127431  129950  132981  135877  138999  140918
24 MD      0-2  200312  200375  194188  181360  166415  157201  151497  153374  157367  164712  167225
24 MD      3-4  144247  139677  137781  137153  136939  130561  118480  110219  105804  103069  105049
24 MD     5-13  736147  737403  731037  716313  702530  686901  670792  649686  622181  593505  573639
24 MD       14   79008   83807   85472   85070   84233   85842   84086   82506   82744   79178   75855
24 MD       15   77524   79627   83983   85070   84917   84211   85690   84098   82536   82647   81212
24 MD       16   73623   77634   79270   83032   84347   84318   83474   85089   83520   81825   82928
24 MD       17   71837   75895   78579   79571   83519   84655   84354   83454   84858   83018   81622
24 MD       18   68353   73827   76214   78087   78642   81546   81863   80690   79113   79705   78820
24 MD       19   65080   71291   75570   77798   79349   79715   82624   82706   81586   79911   80429
24 MD       20   64772   69577   72749   77010   78837   79949   80114   82700   82708   81434   80108
24 MD       21   64234   63936   67767   71250   75019   76496   77655   77591   80078   80055   78717
24 MD       22   69949   64520   63540   67059   70149   73791   75364   76472   76439   78950   79365
24 MD       23   71340   66995   63712   62916   66293   69496   73212   74878   76111   76115   77372
24 MD       24   55413   77390   68856   65208   64110   67636   70743   74346   75922   76915   76829
24 MD    25-29  286687  294738  316893  320955  326125  332021  344226  338861  346129  358404  371136
24 MD    30-34  238222  250906  264611  282780  295218  306135  310486  333304  338726  344291  354443
24 MD    35-44  472245  470930  469767  467586  467121  466685  471863  482580  500347  513148  527067
24 MD    45-54  464224  475415  481740  483323  482572  479291  473126  465302  457788  448647  446488
24 MD    55-59  178582  184297  188746  191876  196659  203219  209071  216027  220656  222418  222682
24 MD    60-61   62161   64277   64747   65889   67676   69393   69901   69960   71465   74111   78069
24 MD   62-64M   38229   40025   41867   42802   43640   44281   45357   46760   47330   47588   47902
24 MD   62-64F   43457   45947   47971   48691   49323   49977   50876   52471   53207   53702   54409
24 MD      65+  298251  309834  318440  327178  335185  345776  355684  366520  376989  387815  395609
25 MA      0-2  274658  269348  256564  237933  218042  207207  199539  198043  197440  199812  206001
25 MA      3-4  195661  187949  182789  180556  178079  166264  149341  138423  133904  130187  131214
25 MA     5-13  989671  977798  960828  941450  920466  893316  868023  835261  797648  761019  737918
25 MA       14  108712  112518  113417  112973  111041  112754  110552  107684  106911  102547   98148
25 MA       15  105707  108138  112008  113096  112634  110436  112410  110359  107691  107100  103889
25 MA       16  101844  105049  106921  110913  111948  111196  109254  111314  109464  106962  106454
25 MA       17  100559  102613  104810  106878  110690  111501  110916  109037  111476  109823  106765
25 MA       18  104992  105674  107455  109834  111631  115407  116235  115622  113926  116629  112457
25 MA       19  101736  105314  108316  110821  113105  114921  119039  120243  120166  118860  118674
25 MA       20   98863  103642  105717  108271  110182  111813  113097  116795  117657  117389  115453
25 MA       21   94671   94382   99180  100464  102492  104082  105798  107284  110996  112215  113319
25 MA       22   97582   96455   94677  103793   98368  100346  101797  103628  105296  109197  110605
25 MA       23   98159   95982   96647   94486   97098   97420   99569  101179  103394  105496  107605
25 MA       24   75384  107940   99376   99470   96040   98226   98403  100333  101846  104016  105920
25 MA    25-29  371808  386121  420000  432877  450124  463955  482326  472282  473595  477259  489175
25 MA    30-34  295410  305094  318902  343311  359112  371513  378970  410539  421669  438184  446395
25 MA    35-44  628026  611906  601196  592706  584715  575638  575240  582467  602642  619306  627300
25 MA    45-54  669132  668568  666597  662896  655905  644670  633452  621160  609661  595933  584835
25 MA    55-59  290279  294179  295753  298843  301669  304836  307306  311147  312032  313096  310995
25 MA    60-61  108632  107938  106841  108160  109302  110186  110566  110116  111440  113880  115851
25 MA   62-64M   63947   66774   68501   68821   69233   69008   70189   71308   72281   72535   72799
25 MA   62-64F   80354   83799   86172   86425   86423   85644   86557   87514   88023   88210   88734
25 MA      65+  633383  640400  647635  656195  665249  677418  685094  696463  707312  718751  726531
26 MI      0-2  476855  483480  473000  451685  423488  408435  398356  399777  402959  414671  419949
26 MI      3-4  328556  320079  317432  322278  328059  314505  290550  277041  272050  267460  265164
26 MI     5-13 1712867 1671668 1632817 1596991 1565660 1528070 1501903 1470303 1432451 1396228 1364209
26 MI       14  192675  199446  198586  195435  191144  192587  186523  181770  180386  172584  164785
26 MI       15  187964  191072  198041  197907  195050  190186  192178  186968  182684  181413  175948
26 MI       16  181263  185873  188627  196217  196371  192950  188661  191473  186776  182588  181652
26 MI       17  175299  181135  184088  187234  194608  194028  190786  186971  190290  185478  180279
26 MI       18  172599  174312  178463  180883  183375  189342  188278  185038  181053  183540  178645
26 MI       19  156550  168673  172798  178212  181500  183338  190086  190081  187439  183904  184753
26 MI       20  147439  160174  169026  172716  178862  180819  182692  189678  189279  186632  182845
26 MI       21  142046  145148  157095  163437  167053  171631  173978  176379  182964  182890  180689
26 MI       22  149469  147401  147889  156995  162319  164930  169419  172225  174677  181397  181203
26 MI       23  149047  148762  149265  148395  156425  160738  163393  168033  170972  173654  176530
26 MI       24  115524  166285  155352  154642  152110  158766  162890  165299  169550  172135  173163
26 MI    25-29  594343  608269  656418  677749  707090  732375  769860  766992  778379  794894  806918
26 MI    30-34  489368  501130  521324  554518  575911  591007  597247  643733  663737  690436  708369
26 MI    35-44 1003557  978131  961659  950376  943079  929702  931757  949895  986014 1014346 1028999
26 MI    45-54 1008299 1013727 1016157 1018491 1015525 1006372  993851  977547  962977  946343  930931
26 MI    55-59  411760  419853  424601  428972  434210  438880  445163  456116  463907  469757  471411
26 MI    60-61  144827  146240  145679  149557  153188  155433  156385  156317  158079  161445  165238
26 MI   62-64M   92235   94290   96922   97573   99149   99776  102227  104836  106135  106561  106339
26 MI   62-64F   99651  103468  107210  108682  110157  111157  113621  117152  119187  120997  121801
26 MI      65+  749633  765571  776496  789014  803176  822641  839401  857486  875817  896916  912258
27 MN      0-2  195839  196792  188880  177264  166411  165635  168494  174560  179724  187349  191452
27 MN      3-4  136114  131875  131457  133083  132324  124300  113717  109366  111661  114362  115797
27 MN     5-13  738067  724569  706112  688207  669611  652763  637156  614042  590520  571117  559708
27 MN       14   80257   83183   83473   83877   83884   85258   82753   80532   77538   73238   69965
27 MN       15   79502   79612   82257   82936   83328   83790   85266   82593   80571   77815   74950
27 MN       16   77184   78394   78329   81353   82056   82938   83530   84860   82441   80699   78782
27 MN       17   75610   76998   77263   77508   80379   81588   82491   82841   84480   82283   81154
27 MN       18   74941   75979   76518   76657   76689   79826   80837   81355   81667   83228   80514
27 MN       19   66495   73210   75015   76246   76912   77262   80754   81808   82568   83339   84418
27 MN       20   62391   67638   72423   74132   75899   76510   76816   79838   80484   81350   82283
27 MN       21   58917   60604   65477   69193   71144   72808   73646   73798   76546   77574   78800
27 MN       22   61436   61755   62023   65953   69460   71688   73456   74209   74471   77728   78951
27 MN       23   61348   61838   62845   62720   66291   69984   72269   73720   74549   75221   77136
27 MN       24   48102   69071   64888   65613   64783   68326   72016   73827   75099   76046   76396
27 MN    25-29  249670  255954  276250  286064  299551  313487  333281  335412  343677  353574  363435
27 MN    30-34  206906  215038  222665  237007  246621  255523  259859  280898  290443  303846  313104
27 MN    35-44  395836  391686  389270  389186  390154  392286  399104  407992  424134  438364  449216
27 MN    45-54  397220  396763  395278  394712  392321  391960  391166  387315  384265  381915  380250
27 MN    55-59  177150  179831  179480  179486  180447  181427  182426  185026  186975  188261  189457
27 MN    60-61   66195   65605   65125   66418   66503   67391   68473   67813   67459   68628   69869
27 MN   62-64M   42576   43592   44415   44662   45029   45329   46195   46691   47097   47340   47425
27 MN   62-64F   46810   48329   49703   50000   50214   50625   51470   52410   53007   53509   53344
27 MN      65+  407537  415171  420600  427054  433913  441810  449505  458459  465965  473531  479564
28 MS      0-2  125515  132386  135191  134470  129455  126587  124496  126115  127440  129236  131590
28 MS      3-4   84153   81924   82125   85480   90636   91456   87697   84765   83782   82491   83689
28 MS     5-13  439583  432511  425615  419671  413811  408265  407962  405436  401679  397718  398872
28 MS       14   51017   51956   51798   52096   52748   51992   52032   52072   51567   49545   46452
28 MS       15   50469   51110   52361   52461   52764   53153   52678   52708   52771   52144   50789
28 MS       16   47607   50465   50932   52306   52279   52189   52725   52117   52047   51866   50934
28 MS       17   46081   48852   51057   51794   53037   52670   52788   53227   52568   52295   51871
28 MS       18   45973   44473   47070   49768   50201   51296   51260   51342   51881   51111   52358
28 MS       19   43069   44896   44271   47562   49636   50411   51975   52108   52500   53009   52926
28 MS       20   41198   44282   45038   44263   46214   48155   48760   49922   49753   49564   51191
28 MS       21   36155   40810   43981   44511   42624   44786   46890   47423   48495   48067   47670
28 MS       22   35726   37606   40980   43342   42645   40962   43104   44950   45282   45964   46242
28 MS       23   33869   35392   37758   40820   42308   41843   40267   42345   44172   44303   44864
28 MS       24   26453   37561   36557   38596   40766   42201   41644   39785   41582   42962   43538
28 MS    25-29  128202  133133  146615  155705  165457  177182  192044  195194  197994  199649  197129
28 MS    30-34  114536  116914  120862  127394  131027  134188  137311  149863  157354  166328  172410
28 MS    35-44  223712  224811  226339  230004  232446  233553  237271  242562  250630  257146  260505
28 MS    45-54  219578  223018  226941  231065  232362  230957  232778  232550  232996  232464  231819
28 MS    55-59  104864  102697  101522  100738  102954  106778  109176  112593  115533  115418  112768
28 MS    60-61   41308   42470   40943   40688   40275   39453   39046   38221   38166   40464   44516
28 MS   62-64M   26403   26927   28321   28960   29182   28405   28124   28216   27649   26988   26397
28 MS   62-64F   30384   31298   32934   33850   34418   34105   33655   33622   33183   33154   32751
28 MS      65+  221139  229942  237905  244003  251026  258862  266071  272066  278793  285181  289357
29 MO      0-2  218953  226134  225725  218074  205688  200935  199462  203501  206551  212778  218498
29 MO      3-4  152338  145586  145327  149455  153523  150230  140644  134470  133915  134098  135646
29 MO     5-13  827334  809110  793737  772978  750787  731574  718345  701779  684155  667112  657961
29 MO       14   92960   95538   95791   95796   95675   96356   94720   91957   89533   85138   79633
29 MO       15   90671   92494   95829   95931   95801   96020   97122   95569   93138   90525   87538
29 MO       16   87390   90187   92129   95236   95143   95291   95849   96974   95729   93059   90408
29 MO       17   84687   88091   90165   91793   94680   94813   95247   95625   97024   95474   92799
29 MO       18   85871   86550   88758   90479   92176   94916   95310   95158   95488   96475   94012
29 MO       19   81474   84847   85927   89003   91542   92949   96561   96489   96549   97156   96579
29 MO       20   76334   82471   82973   84469   88223   89591   91196   93503   92909   92840   93478
29 MO       21   70971   74336   78382   79279   81368   84025   86150   87113   89319   89238   89370
29 MO       22   75095   74417   74470   78444   79128   80549   83619   85161   86212   88783   88855
29 MO       23   74204   74595   74233   74857   78503   78793   80662   83160   84881   86256   87424
29 MO       24   58357   82644   76918   76850   76674   79699   80174   81304   83648   85260   86315
29 MO    25-29  298547  304005  326458  337020  350596  364207  384845  381540  385333  391588  398398
29 MO    30-34  252157  259280  267923  282544  291784  298214  301444  324187  334475  346870  354339
29 MO    35-44  510148  503220  498967  496673  495654  493854  499535  507436  523446  535900  540566
29 MO    45-54  518529  520030  523826  525710  522743  519299  516796  511702  508563  502657  496552
29 MO    55-59  240011  237479  235987  234143  234386  237606  241431  247716  253180  255999  254957
29 MO    60-61   93081   93511   91583   91430   90584   89751   89114   87723   87705   90159   93460
29 MO   62-64M   59894   60186   62109   62343   62514   61797   61871   62061   61791   60879   60101
29 MO   62-64F   70236   71885   74245   74276   74383   73208   73218   73130   72906   72502   71671
29 MO      65+  558381  569170  577318  585861  594378  604631  615713  625917  632950  641682  648126
30 MT      0-2   33774   35416   35376   34517   33684   34340   35337   36928   37933   39208   39920
30 MT      3-4   23289   22727   22677   23415   24313   23991   22841   22873   23768   24259   24535
30 MT     5-13  135514  132862  129248  125664  122495  119878  117261  114555  111864  109555  109963
30 MT       14   15451   16304   16379   16246   16392   16608   16209   15863   15100   13901   12814
30 MT       15   15437   15626   16352   16478   16408   16614   16754   16432   16087   15157   14185
30 MT       16   15007   15456   15541   16293   16465   16435   16543   16745   16411   15884   15037
30 MT       17   14787   15231   15403   15481   16223   16395   16223   16337   16492   15936   15441
30 MT       18   13473   13687   13938   14124   14219   14923   14981   14839   14949   14893   14854
30 MT       19   11681   13017   13047   13470   13761   13979   14705   14911   14988   14952   15105
30 MT       20   11301   12061   12948   13018   13533   13894   14079   14895   15169   15019   15151
30 MT       21   10936   11370   12139   12910   13022   13579   13930   14205   15080   15201   14768
30 MT       22   10910   11487   11635   12164   12825   12972   13435   13834   14128   14807   14928
30 MT       23   10212   11175   11688   11750   12218   12951   13026   13556   14008   14141   14490
30 MT       24    8172   11808   11825   12325   12326   12878   13601   13746   14356   14656   14681
30 MT    25-29   42212   44192   48587   51742   55908   60112   65137   67413   70177   72018   71516
30 MT    30-34   37687   39406   40644   43322   45264   47198   48217   52913   56134   59639   61409
30 MT    35-44   75021   75811   76485   76993   77669   78513   79903   82030   85678   87784   88419
30 MT    45-54   77883   78178   77655   77369   77182   77358   76972   76462   76099   74837   73677
30 MT    55-59   34738   35379   35777   36249   36937   37623   37768   38214   38197   37585   36557
30 MT    60-61   12349   12820   12828   13008   13220   13511   13569   13757   14065   14219   14325
30 MT   62-64M    8316    8571    8904    9058    9336    9410    9541    9662    9827    9961    9978
30 MT   62-64F    7780    8416    8904    9209    9504    9716    9964   10300   10464   10504   10378
30 MT      65+   68479   69817   70752   71993   73517   75332   77323   79484   81342   83192   84559
31 NE      0-2   71346   73419   73138   71155   68317   67926   68482   70337   71136   72730   75852
31 NE      3-4   49136   47648   47637   48551   49975   49162   46235   44953   45615   46053   47094
31 NE     5-13  270584  265377  260085  253766  247372  239333  233698  227211  220186  214676  213855
31 NE       14   30393   31059   30935   31427   31450   31957   31190   30104   29003   26868   25097
31 NE       15   29596   30248   31016   30934   31411   31281   31901   31135   30061   28906   27192
31 NE       16   29127   29480   30005   30806   30708   31028   31006   31614   30862   29735   28792
31 NE       17   28531   29206   29425   29940   30683   30430   30814   30736   31285   30424   29288
31 NE       18   28987   28560   29113   29288   29812   30456   30259   30563   30398   30851   30111
31 NE       19   27201   28457   28696   29427   29820   30467   31323   31236   31616   31591   31866
31 NE       20   25810   27746   28604   28638   29527   29792   30344   31089   30783   31150   31100
31 NE       21   23976   25257   27157   27544   27659   28360   28611   29104   29654   29433   29747
31 NE       22   24059   24844   25628   26990   27359   27476   28191   28512   28971   29683   29607
31 NE       23   23051   24036   25021   25500   26765   27084   27193   27907   28171   28692   29188
31 NE       24   18047   25835   25046   25805   26117   27267   27560   27600   28203   28437   29092
31 NE    25-29   89262   92708  101557  106915  113625  120146  128540  129604  131560  133395  134794
31 NE    30-34   78149   79847   82143   86470   89683   92291   93977  101990  106332  111629  114407
